file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t0.xls,A,1,0.3904,0.3368,0.0535,11.3333,10.5833,0.75,20210930_0_1,sample,800,0,EVC,-,0,0.0535,0.75
20210930_t0.xls,A,2,0.3943,0.3368,0.0574,11.3333,10.5833,0.75,20210930_0_1,sample,800,0,EVC,-,0,0.0574,0.75
20210930_t0.xls,A,3,0.394,0.3368,0.0572,11,10.5833,0.4167,20210930_0_1,sample,800,0,EVC,-,0,0.0572,0.4167
20210930_t0.xls,B,1,0.3955,0.3368,0.0587,10,10.5833,-0.5833,20210930_0_2,sample,800,0,EVC,+,0,0.0587,-0.5833
20210930_t0.xls,B,2,0.397,0.3368,0.0601,10.6667,10.5833,0.0833,20210930_0_2,sample,800,0,EVC,+,0,0.0601,0.0833
20210930_t0.xls,B,3,0.4048,0.3368,0.0679,10.3333,10.5833,-0.25,20210930_0_2,sample,800,0,EVC,+,0,0.0679,-0.25
20210930_t0.xls,C,1,0.3868,0.3368,0.05,11,10.5833,0.4167,20210930_0_3,sample,800,0,J23100,-,0,0.05,0.4167
20210930_t0.xls,C,2,0.3987,0.3368,0.0618,9.6667,10.5833,-0.9167,20210930_0_3,sample,800,0,J23100,-,0,0.0618,-0.9167
20210930_t0.xls,C,3,0.3982,0.3368,0.0614,11,10.5833,0.4167,20210930_0_3,sample,800,0,J23100,-,0,0.0614,0.4167
20210930_t0.xls,D,1,0.3913,0.3368,0.0545,11.3333,10.5833,0.75,20210930_0_4,sample,800,0,J23100,+,0,0.0545,0.75
20210930_t0.xls,D,2,0.4044,0.3368,0.0676,10.3333,10.5833,-0.25,20210930_0_4,sample,800,0,J23100,+,0,0.0676,-0.25
20210930_t0.xls,D,3,0.4024,0.3368,0.0655,10.3333,10.5833,-0.25,20210930_0_4,sample,800,0,J23100,+,0,0.0655,-0.25
20210930_t0.xls,E,1,0.3934,0.3368,0.0566,10.6667,10.5833,0.0833,20210930_0_5,sample,800,0,Prha,-,0,0.0566,0.0833
20210930_t0.xls,E,2,0.4001,0.3368,0.0633,10.6667,10.5833,0.0833,20210930_0_5,sample,800,0,Prha,-,0,0.0633,0.0833
20210930_t0.xls,E,3,0.4043,0.3368,0.0675,10.6667,10.5833,0.0833,20210930_0_5,sample,800,0,Prha,-,0,0.0675,0.0833
20210930_t0.xls,F,1,0.3938,0.3368,0.0569,11,10.5833,0.4167,20210930_0_6,sample,800,0,Prha,+,0,0.0569,0.4167
20210930_t0.xls,F,2,0.4081,0.3368,0.0713,9.3333,10.5833,-1.25,20210930_0_6,sample,800,0,Prha,+,0,0.0713,-1.25
20210930_t0.xls,F,3,0.4073,0.3368,0.0704,9.6667,10.5833,-0.9167,20210930_0_6,sample,800,0,Prha,+,0,0.0704,-0.9167
