sample_id,measurement_name,block_name,nm,abs,strain,induction,timepoint,norm_abs
20210930_0_1,2,20210930,400,0.3512,EVC,-,0,0.8292
20210930_0_1,2,20210930,401,0.3508,EVC,-,0,0.8262
20210930_0_1,2,20210930,402,0.3511,EVC,-,0,0.828
20210930_0_1,2,20210930,403,0.351,EVC,-,0,0.8273
20210930_0_1,2,20210930,404,0.3504,EVC,-,0,0.823
20210930_0_1,2,20210930,405,0.3507,EVC,-,0,0.8251
20210930_0_1,2,20210930,406,0.3509,EVC,-,0,0.8264
20210930_0_1,2,20210930,407,0.3514,EVC,-,0,0.8302
20210930_0_1,2,20210930,408,0.3518,EVC,-,0,0.8334
20210930_0_1,2,20210930,409,0.3524,EVC,-,0,0.8384
20210930_0_1,2,20210930,410,0.3533,EVC,-,0,0.845
20210930_0_1,2,20210930,411,0.3536,EVC,-,0,0.8476
20210930_0_1,2,20210930,412,0.3542,EVC,-,0,0.8526
20210930_0_1,2,20210930,413,0.3549,EVC,-,0,0.858
20210930_0_1,2,20210930,414,0.3556,EVC,-,0,0.8635
20210930_0_1,2,20210930,415,0.3563,EVC,-,0,0.8689
20210930_0_1,2,20210930,416,0.357,EVC,-,0,0.8738
20210930_0_1,2,20210930,417,0.3576,EVC,-,0,0.8786
20210930_0_1,2,20210930,418,0.3579,EVC,-,0,0.8809
20210930_0_1,2,20210930,419,0.3586,EVC,-,0,0.8869
20210930_0_1,2,20210930,420,0.3591,EVC,-,0,0.8902
20210930_0_1,2,20210930,421,0.3592,EVC,-,0,0.8914
20210930_0_1,2,20210930,422,0.3595,EVC,-,0,0.8939
20210930_0_1,2,20210930,423,0.3599,EVC,-,0,0.8968
20210930_0_1,2,20210930,424,0.36,EVC,-,0,0.8974
20210930_0_1,2,20210930,425,0.36,EVC,-,0,0.8979
20210930_0_1,2,20210930,426,0.3604,EVC,-,0,0.9006
20210930_0_1,2,20210930,427,0.3606,EVC,-,0,0.9024
20210930_0_1,2,20210930,428,0.361,EVC,-,0,0.9056
20210930_0_1,2,20210930,429,0.3614,EVC,-,0,0.9087
20210930_0_1,2,20210930,430,0.3618,EVC,-,0,0.9118
20210930_0_1,2,20210930,431,0.3626,EVC,-,0,0.9176
20210930_0_1,2,20210930,432,0.3633,EVC,-,0,0.923
20210930_0_1,2,20210930,433,0.3643,EVC,-,0,0.9311
20210930_0_1,2,20210930,434,0.3655,EVC,-,0,0.9401
20210930_0_1,2,20210930,435,0.3664,EVC,-,0,0.9476
20210930_0_1,2,20210930,436,0.3678,EVC,-,0,0.9587
20210930_0_1,2,20210930,437,0.3689,EVC,-,0,0.9668
20210930_0_1,2,20210930,438,0.3702,EVC,-,0,0.9772
20210930_0_1,2,20210930,439,0.371,EVC,-,0,0.9835
20210930_0_1,2,20210930,440,0.3721,EVC,-,0,0.9922
20210930_0_1,2,20210930,441,0.3728,EVC,-,0,0.9971
20210930_0_1,2,20210930,442,0.373,EVC,-,0,0.9987
20210930_0_1,2,20210930,443,0.3731,EVC,-,0,1
20210930_0_1,2,20210930,444,0.3727,EVC,-,0,0.9969
20210930_0_1,2,20210930,445,0.3722,EVC,-,0,0.9931
20210930_0_1,2,20210930,446,0.3712,EVC,-,0,0.9852
20210930_0_1,2,20210930,447,0.3702,EVC,-,0,0.977
20210930_0_1,2,20210930,448,0.3685,EVC,-,0,0.9635
20210930_0_1,2,20210930,449,0.3668,EVC,-,0,0.9507
20210930_0_1,2,20210930,450,0.3649,EVC,-,0,0.9359
20210930_0_1,2,20210930,451,0.3629,EVC,-,0,0.9202
20210930_0_1,2,20210930,452,0.3608,EVC,-,0,0.9041
20210930_0_1,2,20210930,453,0.3589,EVC,-,0,0.8889
20210930_0_1,2,20210930,454,0.357,EVC,-,0,0.8745
20210930_0_1,2,20210930,455,0.3551,EVC,-,0,0.8595
20210930_0_1,2,20210930,456,0.3536,EVC,-,0,0.8474
20210930_0_1,2,20210930,457,0.352,EVC,-,0,0.8353
20210930_0_1,2,20210930,458,0.3508,EVC,-,0,0.8261
20210930_0_1,2,20210930,459,0.3494,EVC,-,0,0.8146
20210930_0_1,2,20210930,460,0.3483,EVC,-,0,0.8066
20210930_0_1,2,20210930,461,0.3473,EVC,-,0,0.7984
20210930_0_1,2,20210930,462,0.3463,EVC,-,0,0.7907
20210930_0_1,2,20210930,463,0.3456,EVC,-,0,0.7852
20210930_0_1,2,20210930,464,0.3448,EVC,-,0,0.7788
