sample_id,OD_730,strain,induction,timepoint
20210930_0_1,0.482,EVC,-,0
20210930_0_2,0.482,EVC,+,0
20210930_0_3,0.488,J23100,-,0
20210930_0_4,0.488,J23100,+,0
20210930_0_5,0.482,Prha,-,0
20210930_0_6,0.482,Prha,+,0
20210930_0_7,0.472,petE,-,0
20210930_0_8,0.472,petE,+,0
20210930_2_1,0.4128,EVC,-,2
20210930_2_2,0.4672,EVC,+,2
20210930_2_3,0.5424,J23100,-,2
20210930_2_4,0.5536,J23100,+,2
20210930_2_5,0.536,Prha,-,2
20210930_2_6,0.5536,Prha,+,2
20210930_2_7,0.4176,petE,-,2
20210930_2_8,0.4576,petE,+,2
20210930_3_1,0.5536,EVC,-,3
20210930_3_2,0.432,EVC,+,3
20210930_3_3,0.5424,J23100,-,3
20210930_3_4,0.576,J23100,+,3
20210930_3_5,0.5584,Prha,-,3
20210930_3_6,0.5936,Prha,+,3
20210930_3_7,0.4784,petE,-,3
20210930_3_8,0.4912,petE,+,3
20210930_4_1,0.4928,EVC,-,4
20210930_4_2,0.4976,EVC,+,4
20210930_4_3,0.5872,J23100,-,4
20210930_4_4,0.6192,J23100,+,4
20210930_4_5,0.5952,Prha,-,4
20210930_4_6,0.6288,Prha,+,4
20210930_4_7,0.5312,petE,-,4
20210930_4_8,0.4848,petE,+,4
20210930_5_1,0.5296,EVC,-,5
20210930_5_2,0.6432,EVC,+,5
20210930_5_3,0.6496,J23100,-,5
20210930_5_4,0.656,J23100,+,5
20210930_5_5,0.6336,Prha,-,5
20210930_5_6,0.6656,Prha,+,5
20210930_5_7,0.5504,petE,-,5
20210930_5_8,0.48,petE,+,5
20210930_6_1,0.5424,EVC,-,6
20210930_6_2,0.7088,EVC,+,6
20210930_6_3,0.64,J23100,-,6
20210930_6_4,0.7072,J23100,+,6
20210930_6_5,0.6544,Prha,-,6
20210930_6_6,0.7104,Prha,+,6
20210930_6_7,0.6144,petE,-,6
20210930_6_8,0.496,petE,+,6
20210930_7_1,0.6656,EVC,-,7
20210930_7_2,0.7808,EVC,+,7
20210930_7_3,0.7456,J23100,-,7
20210930_7_4,0.7344,J23100,+,7
20210930_7_5,0.6992,Prha,-,7
20210930_7_6,0.7392,Prha,+,7
20210930_7_7,0.6992,petE,-,7
20210930_7_8,0.4768,petE,+,7
20210930_24_1,2.152,EVC,-,24
20210930_24_2,2.14,EVC,+,24
20210930_24_3,2.192,J23100,-,24
20210930_24_4,2.236,J23100,+,24
20210930_24_5,1.992,Prha,-,24
20210930_24_6,1.98,Prha,+,24
20210930_24_7,2.128,petE,-,24
20210930_24_8,0.448,petE,+,24
